"id";"Libellé";"Catégorie";"Marque";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Code-barres";"Type de déclinaison";"Prix soldé";"Emplacement";"Référence externe";"Compte comptable";"points +";"points -";"Affichable";"En ligne";"Image";"Stock";"Catégorie";"Poids";"Libellé court"
"2";"AMANDES COMPLÈTES SÉLECTION 12-14 MM BIO AB ESPAGNE";"VRAC";"N/A";"0.00827";"Keramis";"";"0.01134";"0.05500";"2430000000027";"";"0.00960";"";"Espagne";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"AMANDES COMPLÈTES"
"6";"MANGUES SÉCHÉES LAMELLES BIO AB 2,5 KG";"VRAC";"N/A";"0.01170";"Keramis";"";"0.01605";"0.05500";"2430000000065";"";"0.01358";"";"";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"MANGUES SECHEES"
"7";"NOIX DE CAJOU BIO AB";"VRAC";"N/A";"0.01228";"Keramis";"";"0.01684";"0.05500";"2430000000072";"";"0.01425";"";"";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"NOIX DE CAJOU"
"10";"RAISINS SULTANINES BIO AB (TURQUIE )";"VRAC";"N/A";"0.00588";"Keramis";"";"0.00806";"0.05500";"2430000000102";"";"0.00682";"";"Turquie";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"RAISINS SULTANINES"
"12";"POUDRE D'AMANDES ";"VRAC";"N/A";"0.01003";"Keramis";"";"0.01376";"0.05500";"2430000000126";"";"0.01164";"";"Espagne";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"POUDRE D'AMANDES BLANCHES"
"20";"CHOCOLAT AU LAIT PALET (37% CACAO )";"VRAC";"N/A";"0.01665";"Keramis";"";"0.02284";"0.05500";"2430000000201";"";"0.01932";"";"";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"CHOCOLAT LAIT COUVERTURE 37%"
"26";"QUINOA BLANC BIO AB - BOLIVIE";"VRAC";"N/A";"0.00489";"Keramis";"";"0.00671";"0.05500";"2430000000263";"";"0.00567";"";"Bolivie";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"QUINOA BLANC"
"29";"RIZ DE CAMARGUE IGP LONG SEMI COMPLET BIO AB 10KG";"VRAC";"N/A";"0.00304";"Keramis";"";"0.00417";"0.05500";"2430000000294";"";"0.00353";"";"France";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"RIZ CAMARGUE LG SEMI COMPLET"
"32";"TRIO DE RIZ CAMARGUE";"VRAC";"N/A";"0.00389";"Keramis";"";"0.00534";"0.05500";"2430000000324";"";"0.00451";"";"France";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"TRIO DE RIZ CAMARGUE"
"37";"GRAINES DE LIN BRUN BIO AB - FRANCE";"VRAC";"N/A";"0.00375";"Keramis";"";"0.00514";"0.05500";"2430000000379";"";"0.00435";"";"France";"";"0";"0";"1";"0";"";"";"VRAC";"0.00";"GRAINES DE LIN BRUN"
